500664263,Bachelor,DMCI-ICT 3014STAGP1,Stage Competentieontwikkelplan,1/27/2016,vold.
500664263,Bachelor,DMCI-ICT 3014STAGP2,Stage Concept-portfolio,1/27/2016,vold.
500664263,Bachelor,DMCI-ICT 3014STAGTM,Stage Portfolio-assessment,1/27/2016,"6,5"
500664263,Bachelor,DMCI-ICT 5014MS__PA,Mobile Society paper,8/21/2015,"5,7"
500664263,Bachelor,DMCI-ICT 5014MIS_OP,Mobile Infrastructure & Sec. o,6/26/2015,vold.
500664263,Bachelor,DMCI-ICT 5014MIS_TD,Mobile Infrastructure & Sec. t,6/26/2015,"6,4"
500664263,Bachelor,DMCI-ICT 5014MS__PA,Mobile Society paper,6/26/2015,"4,0"
500664263,Bachelor,DMCI-ICT 5014MS__PE,Mobile Society presentatie,6/26/2015,"7,4"
500664263,Bachelor,DMCI-ICT 5014PS05OP,PSP Project Management op,6/24/2015,"7,6"
500664263,Bachelor,DMCI-ICT 5014PMD1TM,PMD methoden en technieken,6/15/2015,"7,5"
500664263,Bachelor,DMCI-ICT 5014PMD2PD,PMD product,6/15/2015,"8,0"
500664263,Bachelor,DMCI-ICT 5014PMD3TM,PMD process,6/15/2015,"9,0"
500664263,Bachelor,DMCI-ICT 1013OOP2TP,Object Oriented Programming 2p,5/29/2015,"6,0"
500664263,Bachelor,DMCI-ICT 1013OOP2TP,Object Oriented Programming 2p,4/10/2015,"4,5"
500664263,Bachelor,DMCI-ICT 5014MAD_OP,Mobile Application Dev. assign,4/10/2015,vold.
500664263,Bachelor,DMCI-ICT 5014MAD_TP,Mobile Application Dev. pract.,4/10/2015,"6,0"
500664263,Bachelor,DMCI-ICT 5014MDP_OP,Mobile Design & Prototyping o.,4/10/2015,vold.
500664263,Bachelor,DMCI-ICT 5014MDP_TP,Mobile Design & Prototyping p.,4/10/2015,"7,3"
500664263,Bachelor,DMCI-ICT 1013OOP1TP,Object Oriented Programming 1p,3/13/2015,"6,0"
500664263,Bachelor,DMCI-ICT 2014S&S_TS,Sorting and Searching theory,3/13/2015,geen res.
500664263,Bachelor,DMCI-ICT 2014TESTTS,Testing theory,3/13/2015,geen res.
500664263,Bachelor,DMCI-ICT 1013PFYST2,PFYS: Methoden en technieken,2/13/2015,"5,5"
500664263,Bachelor,DMCI-ICT 1013OOP1TP,Object Oriented Programming 1p,1/30/2015,"4,0"
500664263,Bachelor,DMCI-ICT 2014EWA1PD,PEWA product,1/30/2015,"7,9"
500664263,Bachelor,DMCI-ICT 2014EWA3TM,PEWA process,1/30/2015,"8,0"
500664263,Bachelor,DMCI-ICT 2014EWA4TM,PEWA methoden en technieken,1/30/2015,"8,0"
500664263,Bachelor,DMCI-ICT 2014EWA5TM,PEWA fluency,1/30/2015,vold.
500664263,Bachelor,DMCI-ICT 2014PEERTM,Peer-assessment tm,1/30/2015,"7,0"
500664263,Bachelor,DMCI-ICT 2014S&S_OP,Sorting and Searching pract.,1/30/2015,geen res.
500664263,Bachelor,DMCI-ICT 2014S&S_TS,Sorting and Searching theory,1/30/2015,geen res.
500664263,Bachelor,DMCI-ICT 2014TESTOP,Testing practical,1/30/2015,geen res.
500664263,Bachelor,DMCI-ICT 2014TESTTS,Testing theory,1/30/2015,"5,0"
500664263,Bachelor,DMCI-ICT 5014PS08OP,PSP Time Management op,1/30/2015,"7,1"
500664263,Bachelor,DMCI-ICT 5014PRF1PS,Cursusnaam,1/19/2015,vold.
500664263,Bachelor,DMCI-ICT 2014DS__TS,Datastructures theory,12/19/2014,geen res.
500664263,Bachelor,DMCI-ICT 2014EWA2TP,PEWA WEB theory,12/10/2014,geen res.
500664263,Bachelor,DMCI-ICT 1013ESKNTS,Essential Skills Nederlands ts,11/7/2014,"7,0"
500664263,Bachelor,DMCI-ICT 2014DS__OP,Datastructures practical,11/7/2014,geen res.
